property_id,ward_id,ward_name,zone,lat,lng,address,pincode,property_type,area_sqm,detection_type,confidence,ndbi_delta,area_delta,ndvi_drop,osm_status,db_match,baseline_year,comparison_year,detected_at,status,estimated_annual_tax_inr,owner_name,s3_geojson_key
GVMC-001-0011,1,Bheemunipatnam,Bheemunipatnam,17.855362,83.409658,"D.No 28-9, Beach Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Industrial,403,change_of_use,0.54,0.55,0.52,0.55,0.47,0.36,2022,2024,2024-02-08T01:00:00Z,pending,16120,"Anil Murthy",mock/ward-1/GVMC-001-0011.json
GVMC-001-0012,1,Bheemunipatnam,Bheemunipatnam,17.784164,83.420952,"D.No 9, Market Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,494,change_of_use,0.65,0.61,0.6,0.57,0.58,0.34,2022,2024,2024-05-22T02:00:00Z,underassessed,19760,"Haritha Sarma",mock/ward-1/GVMC-001-0012.json
GVMC-001-0013,1,Bheemunipatnam,Bheemunipatnam,17.887157,83.459312,"D.No 23, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Vacant Land,446,new_build,0.45,0.37,0.47,0.39,0.38,0.36,2022,2024,2024-03-16T04:00:00Z,false_positive,35680,"Rajesh Raju",mock/ward-1/GVMC-001-0013.json
GVMC-001-0014,1,Bheemunipatnam,Bheemunipatnam,17.865626,83.458433,"D.No 16, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,841,new_build,0.8,0.71,0.75,0.73,0.58,0.53,2022,2024,2024-02-19T02:00:00Z,already_assessed,67280,"Kavitha Rao",mock/ward-1/GVMC-001-0014.json
GVMC-001-0015,1,Bheemunipatnam,Bheemunipatnam,17.847879,83.418504,"D.No 1, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,758,new_build,0.48,0.45,0.31,0.47,0.4,0.45,2022,2024,2024-05-21T02:00:00Z,pending,60640,"Mahesh Varma",mock/ward-1/GVMC-001-0015.json
GVMC-001-0016,1,Bheemunipatnam,Bheemunipatnam,17.804977,83.427584,"D.No 21-6, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,248,new_build,0.58,0.51,0.45,0.49,0.38,0.36,2022,2024,2024-12-10T02:00:00Z,pending,19840,"Sunitha Chowdary",mock/ward-1/GVMC-001-0016.json
GVMC-001-0017,1,Bheemunipatnam,Bheemunipatnam,17.798774,83.436884,"D.No 6, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,433,change_of_use,0.87,0.79,0.75,0.79,0.73,0.62,2022,2024,2024-12-02T04:00:00Z,false_positive,17320,"Padma Reddy",mock/ward-1/GVMC-001-0017.json
GVMC-001-0018,1,Bheemunipatnam,Bheemunipatnam,17.816789,83.408118,"D.No 24-3, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,521,new_build,0.7,0.6,0.55,0.6,0.54,0.42,2022,2024,2024-05-22T03:00:00Z,verified,41680,"Prasad Kumar",mock/ward-1/GVMC-001-0018.json
GVMC-001-0019,1,Bheemunipatnam,Bheemunipatnam,17.800909,83.442931,"D.No 28, Nagar Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,297,new_build,0.97,0.88,0.8,0.94,0.74,0.75,2022,2024,2024-02-08T04:00:00Z,pending,23760,"Anitha Patnaik",mock/ward-1/GVMC-001-0019.json
GVMC-001-0020,1,Bheemunipatnam,Bheemunipatnam,17.859004,83.425776,"D.No 14, Colony Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,505,change_of_use,0.77,0.8,0.7,0.68,0.49,0.56,2022,2024,2024-10-21T05:00:00Z,already_assessed,20200,"Ravi Varma",mock/ward-1/GVMC-001-0020.json
GVMC-001-0021,1,Bheemunipatnam,Bheemunipatnam,17.799277,83.407327,"D.No 41, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Mixed Use,900,new_build,0.58,0.55,0.45,0.49,0.51,0.48,2022,2024,2024-09-02T04:00:00Z,pending,72000,"Divya Prasad",mock/ward-1/GVMC-001-0021.json
GVMC-001-0022,1,Bheemunipatnam,Bheemunipatnam,17.821503,83.382229,"D.No 21-8, Beach Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,595,change_of_use,0.63,0.54,0.59,0.5,0.55,0.41,2022,2024,2024-03-14T04:00:00Z,verified,23800,"Ravi Rao",mock/ward-1/GVMC-001-0022.json
GVMC-001-0023,1,Bheemunipatnam,Bheemunipatnam,17.818331,83.456573,"D.No 26, Temple Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,178,new_build,0.69,0.59,0.65,0.57,0.53,0.57,2022,2024,2024-09-02T03:00:00Z,pending,14240,"Anitha Patnaik",mock/ward-1/GVMC-001-0023.json
GVMC-001-0024,1,Bheemunipatnam,Bheemunipatnam,17.882239,83.380207,"D.No 12, Temple Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,497,change_of_use,0.47,0.41,0.42,0.47,0.3,0.39,2022,2024,2024-02-22T02:00:00Z,pending,19880,"Sowjanya Kumar",mock/ward-1/GVMC-001-0024.json
GVMC-001-0025,1,Bheemunipatnam,Bheemunipatnam,17.880662,83.45414,"D.No 26-1, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,552,change_of_use,0.61,0.63,0.44,0.5,0.39,0.34,2022,2024,2024-09-15T04:00:00Z,pending,22080,"Ravi Kumar",mock/ward-1/GVMC-001-0025.json
GVMC-001-0026,1,Bheemunipatnam,Bheemunipatnam,17.781711,83.419545,"D.No 12-8, Temple Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Industrial,342,change_of_use,0.76,0.74,0.67,0.65,0.63,0.5,2022,2024,2024-02-06T05:00:00Z,false_positive,13680,"Padma Chowdary",mock/ward-1/GVMC-001-0026.json
GVMC-001-0027,1,Bheemunipatnam,Bheemunipatnam,17.810906,83.406428,"D.No 17, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,872,new_build,0.47,0.41,0.35,0.4,0.39,0.23,2022,2024,2024-02-26T04:00:00Z,underassessed,69760,"Divya Kumar",mock/ward-1/GVMC-001-0027.json
GVMC-001-0028,1,Bheemunipatnam,Bheemunipatnam,17.792242,83.435077,"D.No 7-2, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,258,change_of_use,0.9,0.81,0.67,0.76,0.61,0.75,2022,2024,2024-11-13T02:00:00Z,pending,10320,"Mahesh Reddy",mock/ward-1/GVMC-001-0028.json
GVMC-001-0029,1,Bheemunipatnam,Bheemunipatnam,17.867712,83.399418,"D.No 9-6, Temple Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Vacant Land,859,new_build,0.79,0.77,0.58,0.76,0.68,0.52,2022,2024,2024-08-17T04:00:00Z,pending,68720,"Lakshmi Devi",mock/ward-1/GVMC-001-0029.json
GVMC-001-0030,1,Bheemunipatnam,Bheemunipatnam,17.851772,83.451528,"D.No 28, Colony Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,283,new_build,0.46,0.47,0.46,0.43,0.4,0.4,2022,2024,2024-09-06T03:00:00Z,pending,22640,"Ravi Varma",mock/ward-1/GVMC-001-0030.json
GVMC-001-0031,1,Bheemunipatnam,Bheemunipatnam,17.780593,83.416879,"D.No 16-4, Market Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,703,new_build,0.93,0.84,0.75,0.84,0.72,0.65,2022,2024,2024-12-25T05:00:00Z,underassessed,56240,"Ravi Patnaik",mock/ward-1/GVMC-001-0031.json
GVMC-001-0032,1,Bheemunipatnam,Bheemunipatnam,17.860074,83.421432,"D.No 18-9, Colony Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Mixed Use,117,new_build,0.93,0.83,0.77,0.85,0.66,0.57,2022,2024,2024-09-15T03:00:00Z,pending,9360,"Ravi Murthy",mock/ward-1/GVMC-001-0032.json
GVMC-001-0033,1,Bheemunipatnam,Bheemunipatnam,17.816836,83.425432,"D.No 25-5, Temple Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,850,new_build,0.91,0.94,0.69,0.86,0.71,0.65,2022,2024,2024-05-06T03:00:00Z,pending,68000,"Anitha Rao",mock/ward-1/GVMC-001-0033.json
GVMC-001-0034,1,Bheemunipatnam,Bheemunipatnam,17.866569,83.379482,"D.No 35, Colony Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,141,change_of_use,0.98,0.93,0.76,0.84,0.73,0.63,2022,2024,2024-10-13T02:00:00Z,pending,5640,"Haritha Chowdary",mock/ward-1/GVMC-001-0034.json
GVMC-001-0035,1,Bheemunipatnam,Bheemunipatnam,17.79358,83.454005,"D.No 40, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,519,change_of_use,0.76,0.67,0.72,0.63,0.46,0.54,2022,2024,2024-10-19T03:00:00Z,already_assessed,20760,"Anitha Reddy",mock/ward-1/GVMC-001-0035.json
GVMC-001-0036,1,Bheemunipatnam,Bheemunipatnam,17.788502,83.429723,"D.No 26, Market Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Vacant Land,547,new_build,0.77,0.66,0.67,0.6,0.62,0.58,2022,2024,2024-06-23T05:00:00Z,underassessed,43760,"Anil Murthy",mock/ward-1/GVMC-001-0036.json
GVMC-001-0037,1,Bheemunipatnam,Bheemunipatnam,17.782493,83.425847,"D.No 14-6, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,438,new_build,0.59,0.61,0.49,0.58,0.39,0.53,2022,2024,2024-09-24T05:00:00Z,pending,35040,"Mahesh Prasad",mock/ward-1/GVMC-001-0037.json
GVMC-001-0038,1,Bheemunipatnam,Bheemunipatnam,17.852251,83.400911,"D.No 44-5, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,320,change_of_use,0.58,0.56,0.44,0.43,0.42,0.48,2022,2024,2024-05-27T01:00:00Z,pending,12800,"Kavitha Raju",mock/ward-1/GVMC-001-0038.json
GVMC-001-0039,1,Bheemunipatnam,Bheemunipatnam,17.874673,83.381009,"D.No 1-3, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,263,change_of_use,0.62,0.59,0.54,0.56,0.42,0.53,2022,2024,2024-03-11T03:00:00Z,verified,10520,"Divya Devi",mock/ward-1/GVMC-001-0039.json
GVMC-001-0040,1,Bheemunipatnam,Bheemunipatnam,17.891161,83.391529,"D.No 35, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,169,new_build,0.87,0.75,0.82,0.83,0.57,0.71,2022,2024,2024-06-12T02:00:00Z,underassessed,13520,"Padma Prasad",mock/ward-1/GVMC-001-0040.json
GVMC-001-0041,1,Bheemunipatnam,Bheemunipatnam,17.832695,83.381207,"D.No 20, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Mixed Use,571,new_build,0.93,0.89,0.71,0.91,0.76,0.56,2022,2024,2024-12-24T02:00:00Z,pending,45680,"Suresh Chowdary",mock/ward-1/GVMC-001-0041.json
GVMC-001-0042,1,Bheemunipatnam,Bheemunipatnam,17.825414,83.429386,"D.No 37, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,572,change_of_use,0.81,0.79,0.67,0.64,0.51,0.63,2022,2024,2024-11-18T05:00:00Z,pending,22880,"Venkata Devi",mock/ward-1/GVMC-001-0042.json
GVMC-001-0043,1,Bheemunipatnam,Bheemunipatnam,17.880222,83.409773,"D.No 3-5, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,141,new_build,0.72,0.73,0.62,0.58,0.56,0.4,2022,2024,2024-04-13T01:00:00Z,verified,11280,"Sunitha Naidu",mock/ward-1/GVMC-001-0043.json
GVMC-001-0044,1,Bheemunipatnam,Bheemunipatnam,17.800614,83.37609,"D.No 20, Beach Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,338,change_of_use,0.75,0.74,0.56,0.72,0.55,0.61,2022,2024,2024-09-27T02:00:00Z,pending,13520,"Sunitha Naidu",mock/ward-1/GVMC-001-0044.json
GVMC-001-0045,1,Bheemunipatnam,Bheemunipatnam,17.867638,83.442264,"D.No 38, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,119,new_build,0.66,0.68,0.57,0.59,0.48,0.43,2022,2024,2024-01-19T04:00:00Z,pending,9520,"Anil Murthy",mock/ward-1/GVMC-001-0045.json
GVMC-001-0046,1,Bheemunipatnam,Bheemunipatnam,17.878856,83.444707,"D.No 14, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,781,new_build,0.86,0.88,0.67,0.7,0.67,0.51,2022,2024,2024-09-05T05:00:00Z,pending,62480,"Padma Patnaik",mock/ward-1/GVMC-001-0046.json
GVMC-001-0047,1,Bheemunipatnam,Bheemunipatnam,17.853187,83.415108,"D.No 22, Nagar Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,421,new_build,0.59,0.5,0.41,0.56,0.44,0.52,2022,2024,2024-08-19T03:00:00Z,pending,33680,"Lakshmi Chowdary",mock/ward-1/GVMC-001-0047.json
GVMC-001-0048,1,Bheemunipatnam,Bheemunipatnam,17.879738,83.437431,"D.No 5, Beach Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,228,new_build,0.52,0.46,0.51,0.41,0.47,0.29,2022,2024,2024-03-28T02:00:00Z,verified,18240,"Kavitha Devi",mock/ward-1/GVMC-001-0048.json
GVMC-001-0049,1,Bheemunipatnam,Bheemunipatnam,17.883525,83.452563,"D.No 29-7, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,435,new_build,0.77,0.69,0.65,0.6,0.64,0.65,2022,2024,2024-10-02T04:00:00Z,pending,34800,"Anitha Chowdary",mock/ward-1/GVMC-001-0049.json
GVMC-001-0050,1,Bheemunipatnam,Bheemunipatnam,17.811298,83.411594,"D.No 29, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,315,change_of_use,0.61,0.64,0.45,0.6,0.42,0.32,2022,2024,2024-04-07T05:00:00Z,pending,12600,"Haritha Varma",mock/ward-1/GVMC-001-0050.json
GVMC-001-0051,1,Bheemunipatnam,Bheemunipatnam,17.806448,83.458688,"D.No 32, Lane, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,929,new_build,0.51,0.55,0.38,0.36,0.4,0.24,2022,2024,2024-02-05T04:00:00Z,pending,74320,"Anitha Murthy",mock/ward-1/GVMC-001-0051.json
GVMC-001-0052,1,Bheemunipatnam,Bheemunipatnam,17.784947,83.389036,"D.No 8-1, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Mixed Use,322,change_of_use,0.7,0.73,0.65,0.54,0.59,0.41,2022,2024,2024-10-21T04:00:00Z,verified,12880,"Krishna Naidu",mock/ward-1/GVMC-001-0052.json
GVMC-001-0053,1,Bheemunipatnam,Bheemunipatnam,17.804725,83.403698,"D.No 33, Main Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,722,new_build,0.63,0.62,0.51,0.49,0.55,0.53,2022,2024,2024-06-28T01:00:00Z,pending,57760,"Mahesh Devi",mock/ward-1/GVMC-001-0053.json
GVMC-001-0054,1,Bheemunipatnam,Bheemunipatnam,17.881172,83.383486,"D.No 42, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,267,change_of_use,0.43,0.47,0.45,0.4,0.29,0.37,2022,2024,2024-10-02T02:00:00Z,pending,10680,"Krishna Raju",mock/ward-1/GVMC-001-0054.json
GVMC-001-0055,1,Bheemunipatnam,Bheemunipatnam,17.87289,83.419222,"D.No 44-9, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Industrial,543,new_build,0.45,0.45,0.46,0.46,0.41,0.35,2022,2024,2024-05-18T05:00:00Z,already_assessed,43440,"Mahesh Reddy",mock/ward-1/GVMC-001-0055.json
GVMC-001-0056,1,Bheemunipatnam,Bheemunipatnam,17.788867,83.402563,"D.No 10-6, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Vacant Land,618,new_build,0.79,0.78,0.66,0.71,0.66,0.65,2022,2024,2024-04-12T02:00:00Z,verified,49440,"Venkata Kumar",mock/ward-1/GVMC-001-0056.json
GVMC-001-0057,1,Bheemunipatnam,Bheemunipatnam,17.846665,83.412299,"D.No 40-3, Nagar Road, Bheemunipatnam, Visakhapatnam - 530001",530001,Commercial,297,change_of_use,0.64,0.67,0.6,0.56,0.42,0.45,2022,2024,2024-08-06T01:00:00Z,pending,11880,"Rajesh Reddy",mock/ward-1/GVMC-001-0057.json
GVMC-001-0058,1,Bheemunipatnam,Bheemunipatnam,17.8932,83.44202,"D.No 24, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,376,change_of_use,0.67,0.69,0.66,0.64,0.6,0.46,2022,2024,2024-02-06T03:00:00Z,pending,15040,"Divya Raju",mock/ward-1/GVMC-001-0058.json
GVMC-001-0059,1,Bheemunipatnam,Bheemunipatnam,17.813633,83.381235,"D.No 14, Cross Street, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,729,new_build,0.85,0.8,0.79,0.75,0.71,0.67,2022,2024,2024-05-22T05:00:00Z,pending,58320,"Divya Naidu",mock/ward-1/GVMC-001-0059.json
GVMC-001-0060,1,Bheemunipatnam,Bheemunipatnam,17.847884,83.451791,"D.No 8, Ring Road Extension, Bheemunipatnam, Visakhapatnam - 530001",530001,Residential,646,change_of_use,0.49,0.44,0.51,0.47,0.46,0.3,2022,2024,2024-05-26T01:00:00Z,verified,25840,"Lakshmi Sarma",mock/ward-1/GVMC-001-0060.json
GVMC-002-0001,2,Madhurawada,Madhurawada,17.766025,83.311855,"D.No 39-4, Market Road, Madhurawada, Visakhapatnam - 530009",530009,Residential,94,new_build,0.51,0.48,0.48,0.47,0.29,0.27,2022,2024,2024-12-01T04:00:00Z,pending,7520,"Sowjanya Patnaik",mock/ward-2/GVMC-002-0001.json
GVMC-002-0002,2,Madhurawada,Madhurawada,17.79549,83.309647,"D.No 20, Market Road, Madhurawada, Visakhapatnam - 530009",530009,Mixed Use,554,new_build,0.64,0.56,0.59,0.51,0.41,0.46,2022,2024,2024-08-19T05:00:00Z,verified,44320,"Kavitha Reddy",mock/ward-2/GVMC-002-0002.json
GVMC-002-0003,2,Madhurawada,Madhurawada,17.806507,83.300026,"D.No 6-4, Beach Road, Madhurawada, Visakhapatnam - 530009",530009,Residential,123,new_build,0.7,0.72,0.68,0.55,0.57,0.4,2022,2024,2024-06-22T02:00:00Z,pending,9840,"Rajesh Naidu",mock/ward-2/GVMC-002-0003.json
GVMC-002-0004,2,Madhurawada,Madhurawada,17.79067,83.304146,"D.No 29, Temple Street, Madhurawada, Visakhapatnam - 530009",530009,Residential,313,change_of_use,0.49,0.47,0.44,0.52,0.29,0.33,2022,2024,2024-11-19T04:00:00Z,verified,12520,"Venkata Patnaik",mock/ward-2/GVMC-002-0004.json
GVMC-002-0005,2,Madhurawada,Madhurawada,17.794863,83.368106,"D.No 22, Temple Street, Madhurawada, Visakhapatnam - 530009",530009,Residential,329,change_of_use,0.61,0.53,0.57,0.59,0.54,0.38,2022,2024,2024-04-18T05:00:00Z,false_positive,13160,"Anil Chowdary",mock/ward-2/GVMC-002-0005.json
GVMC-002-0006,2,Madhurawada,Madhurawada,17.786711,83.332497,"D.No 38-1, Lane, Madhurawada, Visakhapatnam - 530009",530009,Residential,596,change_of_use,0.6,0.5,0.52,0.46,0.36,0.51,2022,2024,2024-09-09T03:00:00Z,verified,23840,"Krishna Raju",mock/ward-2/GVMC-002-0006.json
GVMC-002-0007,2,Madhurawada,Madhurawada,17.797067,83.312606,"D.No 34, Temple Street, Madhurawada, Visakhapatnam - 530009",530009,Residential,390,new_build,0.48,0.48,0.44,0.35,0.32,0.34,2022,2024,2024-10-21T03:00:00Z,already_assessed,31200,"Mahesh Prasad",mock/ward-2/GVMC-002-0007.json
GVMC-002-0008,2,Madhurawada,Madhurawada,17.81905,83.311197,"D.No 10-9, Ring Road Extension, Madhurawada, Visakhapatnam - 530009",530009,Residential,674,new_build,0.55,0.44,0.4,0.54,0.36,0.35,2022,2024,2024-07-07T04:00:00Z,false_positive,53920,"Padma Naidu",mock/ward-2/GVMC-002-0008.json
GVMC-002-0009,2,Madhurawada,Madhurawada,17.764639,83.35272,"D.No 39, Temple Street, Madhurawada, Visakhapatnam - 530009",530009,Mixed Use,72,change_of_use,0.74,0.69,0.69,0.7,0.59,0.52,2022,2024,2024-04-17T03:00:00Z,pending,2880,"Divya Prasad",mock/ward-2/GVMC-002-0009.json
GVMC-002-0010,2,Madhurawada,Madhurawada,17.816042,83.373142,"D.No 7, Lane, Madhurawada, Visakhapatnam - 530009",530009,Residential,703,new_build,0.63,0.59,0.53,0.58,0.57,0.51,2022,2024,2024-11-07T03:00:00Z,pending,56240,"Prasad Raju",mock/ward-2/GVMC-002-0010.json
GVMC-002-0011,2,Madhurawada,Madhurawada,17.774784,83.350701,"D.No 40, Colony Road, Madhurawada, Visakhapatnam - 530009",530009,Residential,397,new_build,0.7,0.62,0.61,0.54,0.45,0.38,2022,2024,2024-09-28T03:00:00Z,false_positive,31760,"Haritha Sarma",mock/ward-2/GVMC-002-0011.json
GVMC-002-0012,2,Madhurawada,Madhurawada,17.76803,83.350016,"D.No 9, Lane, Madhurawada, Visakhapatnam - 530009",530009,Commercial,900,new_build,0.7,0.66,0.66,0.57,0.6,0.59,2022,2024,2024-03-11T02:00:00Z,pending,72000,"Lakshmi Sarma",mock/ward-2/GVMC-002-0012.json
GVMC-002-0013,2,Madhurawada,Madhurawada,17.776283,83.368857,"D.No 24-9, Market Road, Madhurawada, Visakhapatnam - 530009",530009,Mixed Use,475,change_of_use,0.78,0.72,0.67,0.73,0.66,0.47,2022,2024,2024-06-16T01:00:00Z,verified,19000,"Rajesh Kumar",mock/ward-2/GVMC-002-0013.json
GVMC-002-0014,2,Madhurawada,Madhurawada,17.770827,83.30113,"D.No 45, Main Road, Madhurawada, Visakhapatnam - 530009",530009,Commercial,283,new_build,0.73,0.74,0.59,0.57,0.59,0.43,2022,2024,2024-11-06T05:00:00Z,verified,22640,"Padma Prasad",mock/ward-2/GVMC-002-0014.json
GVMC-002-0015,2,Madhurawada,Madhurawada,17.761134,83.354027,"D.No 34, Temple Street, Madhurawada, Visakhapatnam - 530009",530009,Residential,682,new_build,0.83,0.85,0.8,0.65,0.57,0.58,2022,2024,2024-02-13T04:00:00Z,false_positive,54560,"Ramesh Kumar",mock/ward-2/GVMC-002-0015.json
GVMC-002-0016,2,Madhurawada,Madhurawada,17.813373,83.32267,"D.No 30, Main Road, Madhurawada, Visakhapatnam - 530009",530009,Residential,282,new_build,0.54,0.5,0.49,0.51,0.41,0.41,2022,2024,2024-06-11T03:00:00Z,already_assessed,22560,"Kavitha Murthy",mock/ward-2/GVMC-002-0016.json
GVMC-002-0017,2,Madhurawada,Madhurawada,17.788147,83.354573,"D.No 23, Lane, Madhurawada, Visakhapatnam - 530009",530009,Commercial,932,new_build,0.94,0.96,0.71,0.86,0.77,0.75,2022,2024,2024-11-04T01:00:00Z,pending,74560,"Srinivas Varma",mock/ward-2/GVMC-002-0017.json
GVMC-002-0018,2,Madhurawada,Madhurawada,17.815352,83.363902,"D.No 16, Main Road, Madhurawada, Visakhapatnam - 530009",530009,Residential,82,change_of_use,0.94,0.85,0.7,0.75,0.68,0.74,2022,2024,2024-01-15T03:00:00Z,verified,3280,"Rajesh Sarma",mock/ward-2/GVMC-002-0018.json
GVMC-002-0019,2,Madhurawada,Madhurawada,17.764851,83.306671,"D.No 15, Market Road, Madhurawada, Visakhapatnam - 530009",530009,Mixed Use,170,new_build,0.74,0.66,0.64,0.59,0.66,0.54,2022,2024,2024-10-12T05:00:00Z,pending,13600,"Sunitha Varma",mock/ward-2/GVMC-002-0019.json
